kind,path,id,seriesTitle,level,subject,topic,difficulty,exerciseCount,repeatTotal,types,generators
exercice,fr/exercices/cm1/maths/numeration/lire-nombres-100M,abbae970,Lire des très grands nombres,CM1,maths,numeration,difficile,10,10,number-check,
application,fr/applications/cm1/maths/operations/multiplication-trou-facile,5468954f,Multiplications à trou (Facile),CM1,maths,operations,facile,1,10,number-check,multiplicationTrou
application,fr/applications/cm1/maths/operations/table-10,3985c627,Table de 10,CM1,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/cm1/maths/operations/table-11,701f2f8b,Table de 11,CM1,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/cm1/maths/operations/table-12,8a422854,Table de 12,CM1,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/cm1/maths/operations/table-13,a43b15fe,Table de 13,CM1,maths,operations,facile,1,10,number-check,multiplicationSimple
exercice,fr/exercices/cm1/maths/operations/estimer-addition-01,2509a055,Estimer une addition,CM1,maths,operations,facile,5,5,mcq,
exercice,fr/exercices/cm1/maths/operations/estimer-multiplication-01,00ad3f63,Estimer une multiplication,CM1,maths,operations,facile,5,5,mcq,
application,fr/applications/cm1/maths/operations/addition-trou,aa335a76,Additions à trou,CM1,maths,operations,moyen,1,10,number-check,additionTrou
application,fr/applications/cm1/maths/operations/division-simple,2d6f83a1,Division simple,CM1,maths,operations,moyen,1,10,number-check,divisionSimple
application,fr/applications/cm1/maths/operations/division-trou,82598d93,Divisions à trou,CM1,maths,operations,moyen,1,10,number-check,divisionTrou
application,fr/applications/cm1/maths/operations/multiplication-tables,c9d8e7f6,Tables de multiplication,CM1,maths,operations,moyen,1,15,number-check,multiplicationSimple
application,fr/applications/cm1/maths/operations/multiplication-trou-moyen,fed490a9,Multiplications à trou (Moyen),CM1,maths,operations,moyen,1,12,number-check,multiplicationTrou
application,fr/applications/cm1/maths/operations/soustraction-trou,b2915b4c,Soustractions à trou,CM1,maths,operations,moyen,1,10,number-check,soustractionTrou
exercice,fr/exercices/cm1/maths/operations/divisions-01,5ad63c21,Divisions simples,CM1,maths,operations,moyen,4,4,number-check,
exercice,fr/exercices/cm1/maths/operations/estimer-addition-02,e3499122,Estimer une addition,CM1,maths,operations,moyen,5,5,mcq,
exercice,fr/exercices/cm1/maths/operations/estimer-multiplication-02,e2ad7923,Estimer une multiplication,CM1,maths,operations,moyen,5,5,mcq,
exercice,fr/exercices/cm1/maths/operations/multiplications-01,cd2903a9,Multiplications posées,CM1,maths,operations,moyen,3,3,number-check,
application,fr/applications/cm1/maths/operations/multiplication-trou-difficile,092eb3e3,Multiplications à trou (Difficile),CM1,maths,operations,difficile,1,12,number-check,multiplicationTrou
exercice,fr/exercices/cm1/maths/problemes/01,36e53c83,Problèmes à étapes,CM1,maths,problemes,difficile,4,4,problem,
exercice,fr/exercices/cm2/maths/fractions/bases-01,4932b956,Introduction aux fractions,CM2,maths,fractions,moyen,3,3,problem,
exercice,fr/exercices/cm2/maths/numeration/comparer-01,443b8e02,Comparer des grands nombres,CM2,maths,numeration,facile,3,3,compare,
exercice,fr/exercices/cm2/maths/numeration/chiffres-01,a7812abd,Écris en chiffres,CM2,maths,numeration,moyen,6,6,number-check,
exercice,fr/exercices/cm2/maths/numeration/observer-01,08dd32f1,Observe et réponds,CM2,maths,numeration,moyen,3,3,multi-question,
exercice,fr/exercices/cm2/maths/numeration/quiz-01,517ccaf0,Quiz numération,CM2,maths,numeration,moyen,6,6,mcq,
exercice,fr/exercices/cm2/maths/numeration/recomposer-01,e01e8c83,Recompose les nombres,CM2,maths,numeration,moyen,6,6,number-check,
