kind,path,id,seriesTitle,level,subject,topic,difficulty,exerciseCount,repeatTotal,lengthFlag,types,generators,classes
exercice,fr/exercices/ce1/maths/problemes/transformation-inconnue-01,c5d6e7f8,Que s'est-il passé ?,CE1,maths,problemes,moyen,5,5,,problem,,A2.3
exercice,fr/exercices/ce1/maths/problemes/comparaison-etat-compare-02,b3c4d5e6,"De plus, de moins... (2)",CE1,maths,problemes,difficile,5,5,,problem,,A3.2
application,fr/applications/ce2/maths/calcul/ajouter-8-12-01,69594af8,Ajouter 8 ou 12,CE2,maths,calcul,facile,1,10,,number-check,add8ou12,S1.1.1
application,fr/applications/ce2/maths/calcul/ajouter-9-11-01,42eda1c3,Ajouter 9 ou 11,CE2,maths,calcul,facile,1,10,,number-check,add9ou11,S1.1.1
application,fr/applications/ce2/maths/calcul/soustraire-8-12-01,b192f1e8,Soustraire 8 ou 12,CE2,maths,calcul,facile,1,10,,number-check,sub8ou12,S1.1.1
application,fr/applications/ce2/maths/calcul/soustraire-9-11-01,40287c3f,Soustraire 9 ou 11,CE2,maths,calcul,facile,1,10,,number-check,sub9ou11,S1.1.1
defi,fr/defis/ce2/maths/calcul/additions-rapides-01,f1a2b3c4,Additions rapides (< 20),CE2,maths,calcul,facile,1,40,too-long,number-check,additionFacile,S1.1.1
exercice,fr/exercices/ce2/maths/calcul/complement-1000-01,e6f4a5b6,Compléments à 1 000 (centaines),CE2,maths,calcul,facile,1,8,,number-check,complementNombre,S1.1.2
exercice,fr/exercices/ce2/maths/calcul/grouper-a-10-01,3300723f,Grouper pour faire 10 (facile),CE2,maths,calcul,facile,1,10,,number-check,groupeA10,S1.1.1
exercice,fr/exercices/ce2/maths/calcul/somme-100-01,b3e1f0a2,Résultat = 100,CE2,maths,calcul,facile,1,6,,tile-select,sommesCibles,S2.2.1
defi,fr/defis/ce2/maths/calcul/tables-multiplication-01,a2b3c4d5,Tables de multiplication,CE2,maths,calcul,moyen,1,50,too-long,number-check,multiplicationSimple,S1.1.1
exercice,fr/exercices/ce2/maths/calcul/calcul-reflechi-02,cc01ce2x,Chaînes de calcul (3 étapes),CE2,maths,calcul,moyen,5,5,,calc-chain,,S1.1.2 | S1.1.3
exercice,fr/exercices/ce2/maths/calcul/complement-1000-02,f7a5b6c7,Compléments à 1 000 (dizaines),CE2,maths,calcul,moyen,1,8,,number-check,complementNombre,S1.1.2
exercice,fr/exercices/ce2/maths/calcul/grouper-a-10-02,6ff3b82e,Grouper pour faire 10 (moyen),CE2,maths,calcul,moyen,1,10,,number-check,groupeA10,S1.1.1
exercice,fr/exercices/ce2/maths/calcul/liens-numeriques-01,lnum01ce2,Décomposer un nombre (arbre),CE2,maths,calcul,moyen,5,5,,number-check,,S1.1.1
exercice,fr/exercices/ce2/maths/calcul/somme-1000-01,c4d2e1f3,Résultat = 1 000,CE2,maths,calcul,moyen,1,6,,tile-select,sommesCibles,S2.2.1
exercice,fr/exercices/ce2/maths/calcul/grouper-a-10-03,b782d9d6,Grouper pour faire 10 (difficile),CE2,maths,calcul,difficile,1,10,,number-check,groupeA10,S1.1.1
exercice,fr/exercices/ce2/maths/calcul/somme-1000-02,d5e3f2a4,Résultat = 1 000 (calcul réfléchi),CE2,maths,calcul,difficile,1,6,,tile-select,sommesCibles,S2.2.1
exercice,fr/exercices/ce2/maths/donnees/donnees-01,ce2do001,Construire un diagramme en barres,CE2,maths,donnees,moyen,3,3,,bar-chart,,D1.1.1 | S2.1.1
exercice,fr/exercices/ce2/maths/donnees/donnees-02,ce2do002,Lire un diagramme en barres,CE2,maths,donnees,moyen,3,3,,bar-chart,,D1.1.1
application,fr/applications/ce2/maths/fractions/fraction-du-nombre-01,a5b6c7d8,La moitié et le quart,CE2,maths,fractions,facile,1,10,,number-check,fractionDuNombre,S2.1.3
exercice,fr/exercices/ce2/maths/fractions/ecrire-fraction-01,d4e5f6b8,Écrire une fraction,CE2,maths,fractions,facile,5,5,,fraction-check,,S2.1.3
exercice,fr/exercices/ce2/maths/fractions/fractions-01,026633aa,Fractions simples,CE2,maths,fractions,facile,5,5,,true-false | number-check | mcq,,S1.1.2 | S2.1.3
exercice,fr/exercices/ce2/maths/fractions/fractions-collection-01,c7d8e9f0,Fractions d'une collection,CE2,maths,fractions,facile,6,6,,number-check,,S1.1.2 | S2.1.3
exercice,fr/exercices/ce2/maths/fractions/lire-fraction-01,a3f1d920,Lire des fractions,CE2,maths,fractions,facile,5,5,,fraction,,S2.1.3
application,fr/applications/ce2/maths/fractions/fraction-du-nombre-02,b6c7d8e9,"Moitié, tiers et quart",CE2,maths,fractions,moyen,1,12,,number-check,fractionDuNombre,S2.1.3
exercice,fr/exercices/ce2/maths/fractions/fractions-comparer-01,d8e9f0a1,Comparer des fractions simples,CE2,maths,fractions,moyen,4,4,,true-false | compare | drag-sort | mcq,,S2.1.3
exercice,fr/exercices/ce2/maths/fractions/fractions-parties-groupe-01,ad4c3a8b,Une fraction d'un groupe,CE2,maths,fractions,moyen,5,5,,number-check,,S2.1.3
exercice,fr/exercices/ce2/maths/geometrie/proprietes-01,e819299b,Propriétés des figures,CE2,maths,geometrie,facile,5,5,,checkbox,,S1.1.1
exercice,fr/exercices/ce2/maths/geometrie/quadrillage-lire-01,cg001read,Lire les coordonnées d'un point (1),CE2,maths,geometrie,facile,5,5,,coordinate-grid,,S1.1.1
exercice,fr/exercices/ce2/maths/geometrie/quadrillage-placer-01,cg001place,Placer un point — quadrillage (1),CE2,maths,geometrie,facile,5,5,,coordinate-grid,,S1.1.1
exercice,fr/exercices/ce2/maths/geometrie/solides-02,add0fa62,Nommer les solides,CE2,maths,geometrie,facile,4,4,,mcq,,S1.1.1
exercice,fr/exercices/ce2/maths/geometrie/vrai-faux-01,87119ad2,Vrai ou faux ? Géométrie,CE2,maths,geometrie,facile,3,3,,true-false,,S3.2.3
exercice,fr/exercices/ce2/maths/geometrie/angles-01,f2686b6b,Les angles,CE2,maths,geometrie,moyen,3,3,,matching | true-false | mcq,,S1.1.1 | S3.2.3
exercice,fr/exercices/ce2/maths/geometrie/paralleles-perpendiculaires-01,ce2pp001,Parallèles et perpendiculaires,CE2,maths,geometrie,moyen,4,4,,checkbox | true-false,,S1.1.1 | S3.2.3
exercice,fr/exercices/ce2/maths/geometrie/solides-01,8ec79feb,Les solides,CE2,maths,geometrie,moyen,3,3,,matching | true-false,,S2.1.1 | S2.2.1 | S3.2.3
exercice,fr/exercices/ce2/maths/geometrie/symetrie-01,76efe948,La symétrie,CE2,maths,geometrie,moyen,2,2,,true-false | matching,,S1.1.1 | S3.2.3
exercice,fr/exercices/ce2/maths/geometrie/triangles-01,bb2db41f,Les triangles,CE2,maths,geometrie,moyen,3,3,,matching | true-false | mcq,,S1.1.1 | S3.2.3
exercice,fr/exercices/ce2/maths/grandeurs/monnaie-01,192e5f75,La monnaie,CE2,maths,grandeurs,facile,4,4,,true-false | number-check | matching,,S1.1.1 | S2.2.1 | S3.2.3
application,fr/applications/ce2/maths/grandeurs/lire-heure,be0e466f,Lire l'heure,CE2,maths,grandeurs,moyen,1,10,,clock,lireHeure,I1.1.1
exercice,fr/exercices/ce2/maths/grandeurs/calendrier-01,cal001ce2,Lire un calendrier,CE2,maths,grandeurs,moyen,3,3,,multi-question,,I1.1.1
exercice,fr/exercices/ce2/maths/grandeurs/contenances-01,139269f7,Les contenances,CE2,maths,grandeurs,moyen,3,3,,convert | true-false,,S1.1.1 | S3.1.1
exercice,fr/exercices/ce2/maths/grandeurs/durees-01,827f5809,Les durées,CE2,maths,grandeurs,moyen,3,3,,matching | number-check | true-false,,I1.1.1 | S2.1.3 | S3.2.3
exercice,fr/exercices/ce2/maths/grandeurs/masses-01,9d145297,Les masses,CE2,maths,grandeurs,moyen,2,2,,convert | true-false,,S1.1.1 | S3.1.1
exercice,fr/exercices/ce2/maths/logique/enigmes-fruits-01,ae577336,Énigmes de fruits,CE2,maths,logique,moyen,3,3,,problem,,
exercice,fr/exercices/ce2/maths/logique/grilles-01,da73b97f,Grilles logiques,CE2,maths,logique,moyen,5,5,,logic-grid,,S2.1.1 | S3.2.2
exercice,fr/exercices/ce2/maths/logique/suites-figurales-01,fig001ce2,Suites de figures,CE2,maths,logique,moyen,5,5,,mcq,,S3.2.1
exercice,fr/exercices/ce2/maths/mesures/balance-01,36c2f0d2,La balance — trouver un poids,CE2,maths,mesures,facile,5,5,,number-check,,I1.1.2
exercice,fr/exercices/ce2/maths/mesures/heure-01,d168f178,Lire l'heure — heures et demies,CE2,maths,mesures,facile,5,5,,clock,,I1.1.1
exercice,fr/exercices/ce2/maths/mesures/lire-heure-matching-01,a8b9c0d1,"Lire l'heure (pile, demie)",CE2,maths,mesures,facile,1,4,,matching,lireHeureMatching,I1.1.1
application,fr/applications/ce2/maths/mesures,844d3901,Lire l'heure — multiples de 5 minutes,CE2,maths,mesures,moyen,1,10,,clock,lireHeure,I1.1.1
exercice,fr/exercices/ce2/maths/mesures/balance-02,2d4499bb,La balance — possible ou impossible ?,CE2,maths,mesures,moyen,8,8,,tile-select,,I1.1.2
exercice,fr/exercices/ce2/maths/mesures/durees-01,b3d9c041,Intuition des durées,CE2,maths,mesures,moyen,10,10,,mcq,,I1.1.1
exercice,fr/exercices/ce2/maths/mesures/durees-02,c2a6e481,Estimer une durée,CE2,maths,mesures,moyen,6,6,,matching,,I1.1.1
exercice,fr/exercices/ce2/maths/mesures/durees-calcul-01,o0p1q2r3,Calculer des durées (1),CE2,maths,mesures,moyen,5,5,,problem,,
exercice,fr/exercices/ce2/maths/mesures/heure-02,c65bed24,Lire l'heure — multiples de 5 minutes,CE2,maths,mesures,moyen,5,5,,clock,,I1.1.1
exercice,fr/exercices/ce2/maths/mesures/lire-heure-matching-02,b9c0d1e2,Lire l'heure (quarts d'heure),CE2,maths,mesures,moyen,1,4,,matching,lireHeureMatching,I1.1.1
exercice,fr/exercices/ce2/maths/mesures/longueurs-01,1dcd3e6f,Mesures de longueurs,CE2,maths,mesures,moyen,3,3,,convert,,S1.1.1
exercice,fr/exercices/ce2/maths/mesures/perimetre-01,ce2pm001,Le périmètre,CE2,maths,mesures,moyen,5,5,,number-check,,S1.1.1
exercice,fr/exercices/ce2/maths/mesures/lire-heure-matching-03,c0d1e2f3,Lire l'heure (5 minutes),CE2,maths,mesures,difficile,1,4,,matching,lireHeureMatching,I1.1.1
application,fr/applications/ce2/maths/numeration/arabic-to-roman-facile,e22820d6,Ecrire chiffres romains,CE2,maths,numeration,facile,1,10,,number-check,romanNumeralsReverse,S1.1.1
application,fr/applications/ce2/maths/numeration/arrondir-dizaine,68aac673,Arrondir à la dizaine,CE2,maths,numeration,facile,1,10,,number-check,arrondirNombre,S1.1.1
application,fr/applications/ce2/maths/numeration/blocs-valeur-position-01,b5d1c428,Valeur de position — centaines,CE2,maths,numeration,facile,1,8,,click-blocks,blocsValeurPosition,S2.1.2
application,fr/applications/ce2/maths/numeration/complement-a-10,dc4839da,Complément à 10,CE2,maths,numeration,facile,1,10,,number-check,complementNombre,S1.1.2
application,fr/applications/ce2/maths/numeration/estimation-somme-facile,efd73d44,Estimer une somme à la dizaine,CE2,maths,numeration,facile,1,10,,mcq,estimationSomme,S2.2.1
application,fr/applications/ce2/maths/numeration/nombres-pairs-impairs,a790dc59,Nombres pairs et impairs,CE2,maths,numeration,facile,3,15,too-long,checkbox,nombresPairsImpairs,S1.1.1
application,fr/applications/ce2/maths/numeration/ordre-nombres-01,d3f7a192,Le plus grand / le plus petit (×2),CE2,maths,numeration,facile,1,10,,tile-select,comparerNombres,S1.1.1
application,fr/applications/ce2/maths/numeration/place-valeur-01,e2413106,"Unités, dizaines, centaines",CE2,maths,numeration,facile,1,15,too-long,number-check,chiffrePlaceValeur,S1.1.1
application,fr/applications/ce2/maths/numeration/recomposer-facile,7f9aa6e1,Recomposer un nombre (2-3 chiffres),CE2,maths,numeration,facile,1,10,,number-check,recomposerNombre,S1.1.1
application,fr/applications/ce2/maths/numeration/roman-to-arabic-facile,71e2e9bd,Lire chiffres romains,CE2,maths,numeration,facile,1,10,,number-check,romanNumerals,S1.1.1
exercice,fr/exercices/ce2/maths/numeration/comparaison-nombres-01,4d5dc60c,Comparer des nombres (écriture std),CE2,maths,numeration,facile,1,6,,compare,comparaisonNombres,S1.1.1
exercice,fr/exercices/ce2/maths/numeration/lire-boulier,f97f1def,Lire un boulier,CE2,maths,numeration,facile,3,18,too-long,number-check,lireAbacus,S2.1.2
exercice,fr/exercices/ce2/maths/numeration/suites-01,6b8c4557,Suites de nombres,CE2,maths,numeration,facile,4,4,,sequence,,S3.1.2 | S3.2.1
exercice,fr/exercices/ce2/maths/numeration/tableau-numeration-01,4e5cb137,Tableau de numération,CE2,maths,numeration,facile,3,16,too-long,fill-table,decompoTableau,S1.1.1
exercice,fr/exercices/ce2/maths/numeration/trier-nombres-01,47a55cbe,Ranger des nombres dans l'ordre,CE2,maths,numeration,facile,5,5,,drag-sort,,S3.1.2
application,fr/applications/ce2/maths/numeration/arabic-to-roman-moyen,e163e4ac,Ecrire chiffres romains,CE2,maths,numeration,moyen,1,10,,number-check,romanNumeralsReverse,S1.1.1
application,fr/applications/ce2/maths/numeration/arrondir-centaine,43b47175,Arrondir à la centaine,CE2,maths,numeration,moyen,2,20,too-long,number-check,arrondirNombre,S1.1.1
application,fr/applications/ce2/maths/numeration/comparer-10000,fa708ecd,Comparer des nombres jusqu'à 10 000,CE2,maths,numeration,moyen,1,10,,compare,comparerNombres,S3.1.1
application,fr/applications/ce2/maths/numeration/complement-a-100,95fced06,Complément à 100,CE2,maths,numeration,moyen,1,10,,number-check,complementNombre,S1.1.2
application,fr/applications/ce2/maths/numeration/estimation-somme-moyen,daedfbe2,Estimer 3 nombres à la dizaine,CE2,maths,numeration,moyen,1,10,,mcq,estimationSomme,S2.2.1
application,fr/applications/ce2/maths/numeration/nombres-pairs-impairs-02,b3e7f21a,Nombres pairs et impairs (grands nombres),CE2,maths,numeration,moyen,3,15,too-long,checkbox,nombresPairsImpairs,S1.1.1
application,fr/applications/ce2/maths/numeration/ordre-nombres-02,e4c8b203,Le plus grand / le plus petit (×3),CE2,maths,numeration,moyen,1,10,,tile-select,comparerNombres,S1.1.1
application,fr/applications/ce2/maths/numeration/recomposer-moyen,20d36fc7,Recomposer un nombre (3-4 chiffres),CE2,maths,numeration,moyen,1,10,,number-check,recomposerNombre,S1.1.1
application,fr/applications/ce2/maths/numeration/roman-to-arabic-moyen,709be8f4,Lire chiffres romains,CE2,maths,numeration,moyen,1,10,,number-check,romanNumerals,S1.1.1
application,fr/applications/ce2/maths/numeration/suites-ce2,2a47755e,Suites de nombres,CE2,maths,numeration,moyen,1,10,,sequence,compterDeNCE1,S3.2.1
exercice,fr/exercices/ce2/maths/numeration/comparaison-nombres-02,3f083de4,Comparer des nombres (écriture CDU),CE2,maths,numeration,moyen,1,6,,compare,comparaisonNombres,S1.1.1
exercice,fr/exercices/ce2/maths/numeration/droite-graduee-01,ce2dg001,Droite graduée — lire et placer (1),CE2,maths,numeration,moyen,5,5,,number-line,,S1.1.1
exercice,fr/exercices/ce2/maths/numeration/encadrement-01,ece691f8,Encadrement à la centaine,CE2,maths,numeration,moyen,3,3,,bounding,,S1.1.1
exercice,fr/exercices/ce2/maths/numeration/ordonner-01,dd2805e3,Ordonner des nombres,CE2,maths,numeration,moyen,3,3,,sort,,S3.1.2
application,fr/applications/ce2/maths/numeration/arabic-to-roman-difficile,82586a06,Ecrire chiffres romains,CE2,maths,numeration,difficile,1,10,,number-check,romanNumeralsReverse,S1.1.1
application,fr/applications/ce2/maths/numeration/arrondir-millier,4c46693f,Arrondir au millier,CE2,maths,numeration,difficile,1,10,,number-check,arrondirNombre,S1.1.1
application,fr/applications/ce2/maths/numeration/complement-a-1000,9761a242,Complément à 1000,CE2,maths,numeration,difficile,1,10,,number-check,complementNombre,S1.1.2
application,fr/applications/ce2/maths/numeration/estimation-somme-difficile,7ef6eb3b,Estimer une somme à la centaine,CE2,maths,numeration,difficile,1,10,,mcq,estimationSomme,S2.2.1
application,fr/applications/ce2/maths/numeration/recomposer-difficile,ead3b372,Recomposer un nombre (5-6 chiffres),CE2,maths,numeration,difficile,1,10,,number-check,recomposerNombre,S1.1.1
application,fr/applications/ce2/maths/numeration/roman-to-arabic-difficile,7eaa8805,Lire chiffres romains,CE2,maths,numeration,difficile,1,10,,number-check,romanNumerals,S1.1.1
exercice,fr/exercices/ce2/maths/numeration/comparaison-nombres-03,5c85dc5d,Comparer des nombres (CDU/CDU),CE2,maths,numeration,difficile,1,6,,compare,comparaisonNombres,S1.1.1
application,fr/applications/ce2/maths/operations/addition-trou-facile,36298962,Additions à trou (Facile),CE2,maths,operations,facile,1,12,,number-check,additionTrou,S1.1.1
application,fr/applications/ce2/maths/operations/doubles-moities,f3648f2c,Doubles et moitiés,CE2,maths,operations,facile,1,10,,number-check,doublesMoities,S1.1.2
application,fr/applications/ce2/maths/operations/fruits-addition-trou,cf7fac37,Additions à trou — Fruits,CE2,maths,operations,facile,1,12,,number-check,comptageFruits,S2.1.1
application,fr/applications/ce2/maths/operations/fruits-soustraction-trou,6f502b32,Soustractions à trou — Fruits,CE2,maths,operations,facile,1,12,,number-check,comptageFruits,S2.1.1
application,fr/applications/ce2/maths/operations/soustraction-trou-facile,a3d25ced,Soustractions à trou (Facile),CE2,maths,operations,facile,1,12,,number-check,soustractionTrou,S1.1.1
application,fr/applications/ce2/maths/operations/table-02,4d68cbd4,Table de 2,CE2,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce2/maths/operations/table-03,a257fde9,Table de 3,CE2,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce2/maths/operations/table-04,d76efb42,Table de 4,CE2,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce2/maths/operations/table-05,e1d5145e,Table de 5,CE2,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce2/maths/operations/table-06,18f26bd4,Table de 6,CE2,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce2/maths/operations/table-07,d21c6ffa,Table de 7,CE2,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce2/maths/operations/table-08,99a7c848,Table de 8,CE2,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce2/maths/operations/table-09,b9ca21f1,Table de 9,CE2,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce2/maths/operations/table-10,23fccc48,Table de 10,CE2,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
exercice,fr/exercices/ce2/maths/operations/addition-ou-multiplication-01,a7d4f819,Addition ou multiplication ? (1),CE2,maths,operations,facile,10,10,,tile-select,,S1.1.1
exercice,fr/exercices/ce2/maths/operations/mult-etapes-01,f04a6286,Multiplier par 10 — étape par étape,CE2,maths,operations,facile,1,8,,number-check,multiplicationsEtapes,S1.1.1
exercice,fr/exercices/ce2/maths/operations/multiplication-01,f1e9c305,De l'addition à la multiplication,CE2,maths,operations,facile,8,8,,multi-question,,S1.1.1
exercice,fr/exercices/ce2/maths/operations/partager-equitable-01,a1f2c3d4,Partager équitablement,CE2,maths,operations,facile,1,6,,number-check,partagerEquitable,S1.1.1
exercice,fr/exercices/ce2/maths/operations/pose-addition-01,722213c6,Poser une addition,CE2,maths,operations,facile,5,5,,column-op,,S1.1.1 | S2.1.2
exercice,fr/exercices/ce2/maths/operations/pose-soustraction-01,d6345999,Poser une soustraction,CE2,maths,operations,facile,5,5,,column-op,,S1.1.1 | S2.1.2
exercice,fr/exercices/ce2/maths/operations/vocabulaire-01,e5b3c817,Vocabulaire des opérations,CE2,maths,operations,facile,3,3,,select,,S2.1.4
application,fr/applications/ce2/maths/operations/addition-trou,be7e0175,Additions à trou,CE2,maths,operations,moyen,1,10,,number-check,additionTrou,S1.1.1
application,fr/applications/ce2/maths/operations/comparer-expressions,c9d0e1f2,"Compare sans calculer — additions, soustractions et multiplications",CE2,maths,operations,moyen,2,12,,compare,compareExpressions,S3.1.1
application,fr/applications/ce2/maths/operations/division-simple,f66022f9,Divisions,CE2,maths,operations,moyen,1,10,,number-check,divisionSimple,S1.1.1
application,fr/applications/ce2/maths/operations/division-trou,4.8352e+90,Divisions à trou,CE2,maths,operations,moyen,1,10,,number-check,divisionTrou,S1.1.1
application,fr/applications/ce2/maths/operations/familles-faits,f6a7b8c9,"Familles de faits — additions, soustractions et tables",CE2,maths,operations,moyen,2,12,,checkbox,famillesFaits,S2.2.1
application,fr/applications/ce2/maths/operations/mult-directes-01,78fae4e1,"Multiplier par 10, 100 ou 1000",CE2,maths,operations,moyen,1,15,too-long,number-check,multiplicationsDirectes,S1.1.1
application,fr/applications/ce2/maths/operations/multiplication-trou,287d6d42,Multiplications à trou,CE2,maths,operations,moyen,1,10,,number-check,multiplicationTrou,S1.1.1
application,fr/applications/ce2/maths/operations/perimetre,889f94bd,Périmètres,CE2,maths,operations,moyen,1,10,,number-check,perimetreFormes,S1.1.1
application,fr/applications/ce2/maths/operations/pyramides,1111a0d7,Pyramides d'additions,CE2,maths,operations,moyen,1,8,,pyramid,pyramideAdditions,S1.2.2
application,fr/applications/ce2/maths/operations/soustraction-trou,71922bac,Soustractions à trou,CE2,maths,operations,moyen,1,10,,number-check,soustractionTrou,S1.1.1
application,fr/applications/ce2/maths/operations/triangle-arithmetique,e1f2a3b4,Triangle arithmétique,CE2,maths,operations,moyen,2,16,too-long,tri-arith,triArith,S1.1.1
application,fr/applications/ce2/maths/operations/vrai-faux-ops,c3d4e5f6,"Vrai ou faux ? — additions, soustractions et tables",CE2,maths,operations,moyen,2,10,,true-false,vraiFauxOps,S3.2.3
exercice,fr/exercices/ce2/maths/operations/addition-ou-multiplication-02,b8e5c920,Addition ou multiplication ? (2),CE2,maths,operations,moyen,10,10,,tile-select,,S1.1.1
exercice,fr/exercices/ce2/maths/operations/additions-01,627fefc7,Additions à trois chiffres,CE2,maths,operations,moyen,4,4,,number-check,,S1.1.1
exercice,fr/exercices/ce2/maths/operations/calcul-reflechi-01,ce2cr001,Calcul réfléchi (1),CE2,maths,operations,moyen,4,4,,multi-question,,S1.1.2 | S1.1.3
exercice,fr/exercices/ce2/maths/operations/division-sens-01,f8934228,Division : partage et groupement,CE2,maths,operations,moyen,5,5,,problem,,M1.2 | M1.3
exercice,fr/exercices/ce2/maths/operations/mult-etapes-02,ebe2ee5c,Multiplier par 100 — étape par étape,CE2,maths,operations,moyen,1,8,,number-check,multiplicationsEtapes,S1.1.1
exercice,fr/exercices/ce2/maths/operations/multiplications-posees-01,n9o0p1q2,Multiplications posées (1),CE2,maths,operations,moyen,5,5,,column-op,,S1.1.1
exercice,fr/exercices/ce2/maths/operations/pyramides-01,6350695c,Pyramides d'additions CE2,CE2,maths,operations,moyen,4,4,,pyramid,,S1.2.2
exercice,fr/exercices/ce2/maths/operations/soustractions-01,89c9330a,Soustractions à trois chiffres,CE2,maths,operations,moyen,4,4,,number-check,,S1.1.1
exercice,fr/exercices/ce2/maths/operations/tables-01,5b8ede1d,Tables de multiplication (6 à 9),CE2,maths,operations,moyen,5,13,too-long,number-check,,S1.1.1
exercice,fr/exercices/ce2/maths/operations/mult-etapes-03,9d65830d,Multiplier par 1000 — par étapes,CE2,maths,operations,difficile,1,8,,number-check,multiplicationsEtapes,S1.1.1
exercice,fr/exercices/ce2/maths/problemes/comparaison-ecart-01,a4b5c6d7,Quelle est la différence ?,CE2,maths,problemes,facile,5,5,,problem,,A3.1
exercice,fr/exercices/ce2/maths/problemes/division-groupement-01,d7e8f9a0,Combien de groupes ?,CE2,maths,problemes,facile,5,5,,problem,,M1.3
exercice,fr/exercices/ce2/maths/problemes/division-partage-01,c6d7e8f9,Partager en parts égales,CE2,maths,problemes,facile,5,5,,problem,,M1.2
exercice,fr/exercices/ce2/maths/problemes/fois-plus-01,a6b7c8d9,x fois plus,CE2,maths,problemes,facile,5,5,,problem,,M2.1
exercice,fr/exercices/ce2/maths/problemes/quotidien-01,fdf25fcb,Problèmes du quotidien,CE2,maths,problemes,facile,4,4,,problem,,A1.1 | A2.2 | M1.1
exercice,fr/exercices/ce2/maths/problemes/choix-operation-01,e6f7a8b9,Quelle opération choisir ?,CE2,maths,problemes,moyen,5,5,,select | multi-question,,S1.1.1
exercice,fr/exercices/ce2/maths/problemes/combien-de-fois-01,j5k6l7m8,Combien de fois plus ? (1),CE2,maths,problemes,moyen,5,5,,problem,,M2.2
exercice,fr/exercices/ce2/maths/problemes/comparaison-etat-compare-01,b5c6d7e8,"De plus, de moins...",CE2,maths,problemes,moyen,5,5,,problem,,A3.2
exercice,fr/exercices/ce2/maths/problemes/comparaison-referent-01,c4d5e6f7,Trouver le référent,CE2,maths,problemes,moyen,5,5,,problem,,A3.3
exercice,fr/exercices/ce2/maths/problemes/composition-transformations-01,b2c3d4e5,"Deux changements, quel bilan ?",CE2,maths,problemes,moyen,5,5,,problem,,A4.2
exercice,fr/exercices/ce2/maths/problemes/transformation-etat-initial-01,f3a4b5c6,Quel était le début ?,CE2,maths,problemes,moyen,5,5,,problem,,A2.4
exercice,fr/exercices/ce2/maths/problemes/transformation-inconnue-01,e2f3a4b5,Que s'est-il passé ?,CE2,maths,problemes,moyen,5,5,,problem,,A2.3
exercice,fr/exercices/ce2/maths/problemes/valeur-unitaire-01,f3e2d1c0,Trouver le prix à l'unité,CE2,maths,problemes,moyen,5,5,,multi-question,,S1.1.1 | S3.1.2
exercice,fr/exercices/ce2/maths/problemes/comparaison-etat-compare-02,b7c8d9e0,"De plus, de moins... (2)",CE2,maths,problemes,difficile,5,5,,problem,,A3.2
exercice,fr/exercices/ce2/maths/problemes/comparaison-referent-02,i4j5k6l7,Retrouver l'autre quantité (2),CE2,maths,problemes,difficile,5,5,,problem,,A3.3
exercice,fr/exercices/ce2/maths/problemes/transformation-etat-initial-02,977622f7,Quel était le début ? (2),CE2,maths,problemes,difficile,5,5,,problem,,A2.4
exercice,fr/exercices/ce2/maths/problemes/transformation-etat-initial-03,6bd4327c,Combien avant ? (formes inversées),CE2,maths,problemes,difficile,5,5,,problem,,A2.4
exercice,fr/exercices/cm1/maths/calcul/calcul-reflechi-02,cc01cm1x,Chaînes de calcul (nombres plus grands),CM1,maths,calcul,difficile,5,5,,calc-chain,,S1.1.1 | S1.1.3
exercice,fr/exercices/cm1/maths/decimaux/decomposer-decimal-01,80c774be,Décomposer un nombre décimal,CM1,maths,decimaux,facile,1,8,,tile-select,decomposerDecimal,S2.1.3
exercice,fr/exercices/cm1/maths/decimaux/trier-decimaux,b51629c0,Trier des décimaux,CM1,maths,decimaux,facile,3,18,too-long,sort,trierDecimaux,S3.1.2
application,fr/applications/cm1/maths/decimaux/ajouter-decimaux,acf67d2f,Additions de décimaux,CM1,maths,decimaux,moyen,1,10,,number-check,additionDecimaux,S1.1.1
application,fr/applications/cm1/maths/decimaux/comparer-decimaux,9e57878d,Comparer des décimaux,CM1,maths,decimaux,moyen,1,10,,compare,comparerDecimaux,S3.1.1
application,fr/applications/cm1/maths/decimaux/soustraire-decimaux,f67a1db1,Soustractions de décimaux,CM1,maths,decimaux,moyen,1,10,,number-check,soustractionDecimaux,S1.1.1
exercice,fr/exercices/cm1/maths/decimaux/decomposer-decimal-02,77d3f2ab,Décomposer un nombre décimal,CM1,maths,decimaux,moyen,1,8,,tile-select,decomposerDecimal,S2.1.3
exercice,fr/exercices/cm1/maths/decimaux/decomposer-decimal-03,2377663e,Décomposer un nombre décimal,CM1,maths,decimaux,difficile,1,8,,tile-select,decomposerDecimal,S2.1.3
